                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5227,                0.87723,                 1.0635,                0.49099,                0.35334,                0.37935,                0.18389,                 1.5986,                0.88678,                 1.1696,               0.000467,               0.000467,               0.000467
                     36,                 1.5036,                0.86051,                 1.0419,                0.49082,                0.34681,                0.37729,                0.18294,                 1.5933,                0.88703,                 1.1932,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.4763,                0.84873,                 1.0468,                0.51918,                0.36259,                0.39232,                0.19016,                 1.5645,                0.88939,                  1.154,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.4883,                0.84851,                 1.0357,                0.47667,                0.36493,                0.38538,                0.18736,                 1.5828,                0.88836,                 1.1641,             0.00038211,             0.00038211,             0.00038211
                     39,                  1.431,                0.80769,                 1.0202,                0.49698,                 0.3665,                 0.3926,                0.18979,                 1.5972,                0.85516,                 1.1698,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.4896,                0.85211,                 1.0565,                0.49637,                0.36587,                0.38885,                0.19275,                 1.5478,                0.84525,                 1.1546,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.4268,                0.76505,                 1.0435,                0.48546,                0.35912,                0.38107,                0.18648,                  1.581,                0.87172,                 1.1601,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.3948,                0.72043,                 1.0307,                0.51171,                0.34854,                0.38614,                0.18561,                 1.5654,                0.85322,                 1.1466,             0.00026894,             0.00026894,             0.00026894
                     43,                  1.402,                0.72448,                 1.0334,                 0.5059,                 0.3685,                0.39788,                0.19592,                 1.5382,                0.84177,                 1.1535,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.3811,                0.71922,                 1.0263,                0.50127,                 0.3658,                0.39493,                0.19351,                 1.5436,                0.84131,                 1.1414,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.3588,                0.70515,                  1.007,                0.50554,                0.36879,                0.39949,                0.19634,                  1.554,                0.84118,                 1.1477,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.3472,                0.71036,                 1.0147,                0.49721,                0.37004,                0.40042,                0.19795,                 1.5557,                0.83013,                 1.1627,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.3323,                0.68692,                 1.0032,                 0.5024,                0.36361,                0.39493,                0.19742,                  1.538,                0.82661,                 1.1552,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.3005,                0.67108,                0.99157,                0.51918,                0.36603,                0.40138,                 0.2009,                 1.5209,                0.81187,                 1.1446,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.2995,                0.65313,                0.98722,                0.51642,                0.37232,                0.40311,                0.20137,                 1.5336,                0.82159,                 1.1445,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.2843,                0.65241,                0.99136,                0.53422,                0.36025,                0.40246,                 0.2031,                 1.5284,                0.80807,                  1.143,             4.2584e-05,             4.2584e-05,             4.2584e-05
