                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     12,                 1.9113,                 1.3802,                 1.1876,                0.40753,                0.27517,                0.28301,                0.12242,                 1.8351,                 1.2924,                 1.2216,              0.0011178,              0.0011178,              0.0011178
                     13,                 1.8857,                 1.3079,                 1.1633,                0.43111,                0.26639,                0.28631,                 0.1258,                 1.8401,                 1.2732,                 1.2259,              0.0010895,              0.0010895,              0.0010895
                     14,                 1.8394,                 1.2603,                 1.1506,                0.45032,                0.26645,                0.29074,                  0.132,                 1.7886,                 1.2871,                 1.2049,              0.0010612,              0.0010612,              0.0010612
                     15,                 1.8691,                  1.279,                 1.1409,                0.40027,                0.29037,                0.29664,                0.13012,                 1.8391,                 1.2431,                 1.2347,              0.0010329,              0.0010329,              0.0010329
                     16,                 1.8416,                 1.2469,                 1.1185,                0.40608,                 0.2888,                0.30229,                0.13388,                 1.8676,                 1.2209,                 1.2057,              0.0010046,              0.0010046,              0.0010046
                     17,                 1.8167,                  1.223,                  1.137,                0.47041,                0.29046,                0.31349,                0.14266,                 1.7282,                 1.1482,                 1.1723,             0.00097629,             0.00097629,             0.00097629
                     18,                 1.8312,                 1.2242,                  1.149,                0.44018,                0.30054,                0.31256,                0.14075,                 1.7605,                 1.1964,                 1.1961,               0.000948,               0.000948,               0.000948
                     19,                 1.7645,                 1.1685,                 1.0992,                0.45086,                0.29223,                 0.3166,                0.14445,                 1.7908,                 1.0975,                 1.1981,              0.0009197,              0.0009197,              0.0009197
                     20,                 1.7853,                 1.1585,                 1.1232,                0.42145,                0.28969,                0.29251,                0.13419,                 1.7795,                 1.3728,                 1.1864,             0.00089141,             0.00089141,             0.00089141
                     21,                 1.7872,                 1.1587,                 1.1044,                0.42707,                 0.2959,                0.31997,                0.14562,                 1.7616,                 1.1206,                 1.1738,             0.00086312,             0.00086312,             0.00086312
                     22,                 1.7792,                 1.1693,                 1.1017,                0.44142,                  0.304,                0.32092,                0.14542,                 1.7672,                 1.1122,                 1.1857,             0.00083482,             0.00083482,             0.00083482
                     23,                 1.7636,                 1.1537,                 1.1031,                0.42678,                0.30362,                0.31968,                0.14892,                 1.7441,                 1.0935,                 1.1733,             0.00080653,             0.00080653,             0.00080653
                     24,                 1.7278,                 1.1359,                 1.1048,                0.42952,                0.30809,                0.31636,                  0.145,                 1.7811,                 1.1056,                 1.1766,             0.00077823,             0.00077823,             0.00077823
                     25,                 1.7631,                 1.1361,                 1.0994,                0.45129,                0.30746,                0.33146,                0.15214,                 1.7509,                 1.0629,                 1.1577,             0.00074994,             0.00074994,             0.00074994
                     26,                 1.7159,                 1.0829,                 1.0854,                0.45217,                0.30953,                 0.3286,                0.15275,                 1.6962,                 1.0591,                 1.1468,             0.00072164,             0.00072164,             0.00072164
                     27,                 1.7313,                  1.089,                 1.0781,                 0.4542,                0.31504,                0.32757,                0.15164,                 1.6955,                 1.0815,                 1.1509,             0.00069335,             0.00069335,             0.00069335
                     28,                  1.706,                 1.0943,                  1.081,                0.45179,                0.30633,                0.32278,                 0.1516,                 1.7584,                  1.064,                 1.1728,             0.00066506,             0.00066506,             0.00066506
                     29,                 1.7045,                 1.0666,                 1.0764,                0.44254,                0.32728,                0.33598,                0.15679,                 1.7274,                  1.046,                 1.1426,             0.00063676,             0.00063676,             0.00063676
                     30,                 1.7011,                 1.0522,                 1.0645,                0.43864,                0.32905,                0.34436,                0.15818,                 1.7199,                 1.0384,                 1.1469,             0.00060847,             0.00060847,             0.00060847
                     31,                 1.6825,                 1.0454,                 1.0659,                0.48845,                0.29479,                0.33682,                 0.1604,                  1.721,                 1.0259,                  1.149,             0.00058017,             0.00058017,             0.00058017
                     32,                 1.6501,                 1.0135,                 1.0688,                0.44258,                0.33203,                0.35154,                0.15575,                 1.7247,                 1.0209,                 1.1399,             0.00055188,             0.00055188,             0.00055188
                     33,                 1.6867,                 1.0397,                   1.06,                0.44413,                0.32888,                0.34625,                 0.1605,                 1.7118,                 1.0237,                 1.1402,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.6603,                 1.0143,                 1.0605,                0.45708,                0.32618,                0.34274,                0.16335,                 1.6584,                 0.9885,                 1.1404,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.6479,                 1.0021,                 1.0572,                0.47175,                0.31681,                0.34173,                0.16448,                 1.6825,                 0.9982,                 1.1432,               0.000467,               0.000467,               0.000467
                     36,                   1.63,                0.98812,                 1.0341,                0.47557,                0.32131,                 0.3495,                  0.167,                 1.6695,                0.97817,                  1.151,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.6034,                0.97981,                 1.0426,                0.46544,                0.33835,                0.35875,                0.16898,                 1.6969,                0.96184,                 1.1427,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.6309,                0.97116,                 1.0344,                0.45813,                0.33587,                0.35369,                0.16848,                 1.6758,                0.97838,                 1.1416,             0.00038211,             0.00038211,             0.00038211
                     39,                 1.5684,                0.93684,                   1.02,                0.47345,                0.34068,                0.36845,                0.17005,                 1.7148,                0.97625,                 1.1552,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.6102,                 0.9679,                 1.0425,                0.46417,                0.33263,                0.35693,                0.17212,                 1.6577,                0.97133,                  1.123,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.5567,                0.89498,                  1.039,                0.47065,                0.31788,                0.34134,                0.16321,                 1.6513,                 1.0052,                 1.1282,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.5374,                0.86121,                 1.0291,                0.45626,                 0.3392,                0.35891,                0.17254,                 1.6239,                0.94437,                 1.1085,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.5288,                0.84262,                 1.0247,                  0.472,                0.33263,                0.35781,                0.17076,                 1.6414,                0.95307,                 1.1247,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.5086,                0.83131,                 1.0187,                0.46576,                0.32776,                0.35846,                0.17204,                 1.6353,                0.92727,                 1.1053,             0.00021235,             0.00021235,             0.00021235
                     45,                 1.4942,                0.81671,                 1.0103,                0.45771,                0.33769,                 0.3603,                0.17666,                 1.6277,                0.91801,                 1.1091,             0.00018406,             0.00018406,             0.00018406
                     46,                  1.492,                0.81041,                 1.0116,                 0.4704,                0.34196,                0.36648,                0.17847,                 1.6086,                0.91061,                 1.1044,             0.00015576,             0.00015576,             0.00015576
                     47,                  1.497,                0.81061,                 1.0101,                0.48369,                0.34052,                0.36964,                0.17871,                 1.6069,                0.90114,                 1.1011,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.4693,                0.79189,                 1.0027,                0.46778,                 0.3432,                0.36542,                0.17941,                 1.6086,                0.90099,                 1.1017,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.4636,                 0.7849,                0.99508,                0.46513,                0.34564,                0.36616,                0.17926,                 1.6037,                0.90453,                 1.1012,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                 1.4489,                0.78092,                 1.0007,                0.46682,                0.34416,                0.36705,                0.18054,                  1.599,                0.89329,                 1.1009,             4.2584e-05,             4.2584e-05,             4.2584e-05
