                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0777,                 3.0237,                 1.2215,                0.85512,                0.04681,                0.15026,                0.06729,                 1.9483,                 2.8637,                 1.2726,             0.00047212,             0.00047212,             0.00047212
                      2,                 2.0852,                 2.1882,                 1.2664,                 0.6588,                0.15821,                0.16234,                0.06223,                 2.2074,                  2.038,                 1.4434,             0.00092967,             0.00092967,             0.00092967
                      3,                 2.0774,                 1.9108,                 1.2512,                0.64638,                0.20073,                0.19682,                0.07959,                 2.0993,                 1.6107,                   1.39,              0.0013684,              0.0013684,              0.0013684
                      4,                 2.0929,                 1.7414,                 1.2789,                0.35987,                0.21477,                0.21145,                0.08408,                 2.0236,                 2.7228,                 1.4395,              0.0013441,              0.0013441,              0.0013441
                      5,                 2.0741,                 1.6624,                 1.2735,                 0.3397,                0.23721,                 0.2293,                0.09449,                 2.0171,                 1.4919,                 1.3416,              0.0013158,              0.0013158,              0.0013158
                      6,                 1.9748,                 1.5099,                 1.2069,                0.73243,                0.25029,                0.24575,                 0.1036,                   1.92,                 1.4237,                 1.3154,              0.0012875,              0.0012875,              0.0012875
                      7,                 2.0186,                 1.4814,                 1.1974,                0.36455,                0.26852,                0.25768,                0.10023,                 1.9428,                 1.4416,                 1.2534,              0.0012592,              0.0012592,              0.0012592
                      8,                 2.0002,                 1.4868,                 1.2303,                0.38517,                0.25079,                0.25318,                0.11215,                 1.8529,                 1.3226,                 1.2629,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.9688,                 1.4131,                 1.1961,                0.42301,                0.25708,                0.27489,                0.12229,                 1.8179,                 1.4516,                  1.213,              0.0012026,              0.0012026,              0.0012026
                     10,                 1.9375,                 1.3754,                  1.187,                0.72447,                0.27081,                0.27503,                0.11707,                 1.8759,                 1.2468,                 1.2515,              0.0011744,              0.0011744,              0.0011744
                     11,                 1.8938,                  1.324,                 1.1688,                0.40537,                0.26603,                0.27187,                0.12199,                 1.8162,                 1.3076,                 1.2607,              0.0011461,              0.0011461,              0.0011461
